aircraft_model,number_of_flights
Embraer Phenom 300,1
Airbus A321,80
Boeing 737-800,110
Boeing 787-9,391
Airbus A350-900,103
Boeing 777-300ER Passenger,378
Airbus A330-300,154
Airbus A321 NEO,480
Airbus A320,941
Airbus A320 (sharklets),159
Embraer 190,28
Embraer RJ140,1
,69
Embraer Pheom 300,2
Embraer 170,2
Embraer 195,3
Bombardier CRJ1000,1
Canadair CRJ 200,3
Boeing 737 MAX 8,106
E295,47
Airbus A320 NEO,1101
Airbus A321-200 (Sharklets),47
Boeing 767-300,11
Boeing 787-8,125
Boeing 777-300,14
Boeing 777-200 / 200ER Passenger,217
Boeing 777-200,12
Boeing 777,52
Embraer RJ145,10
Embraer 145,3
Airbus A319,396
Airbus A350-1000,165
Airbus A380-800,149
Boeing 787-10,124
Boeing 777-300ER,28
Airbus A321 (Sharklets),20
Boeing 737,16
Boeing 767-300 Passenger (winglets),67
Airbus A220-300,96
Boeing 737-800 (winglets),45
Boeing 767-400 Passenger,25
Airbus A330-900 NEO,89
Airbus A330-200 Freighter,20
Boeing 737-800 Passenger/BBJ2 (winglets),2
Airbus A330-200,6
Boeing 757-200 Passenger (winglets),8
Boeing 737-900,6
Boeing 737-700,6
Boeing 777-300 Passenger,13
Airbus A220-100,2
Boeing 777-200LR Passenger,10
ATR 72-600,46
Airbus A330,70
Airbus A350,4
Bombardier Learjet 60,1
Boeing 737-400,3
Airbus A330-900,1
Boeing 767-400,1
Gulfstream Aerospace IV,1
Boeing 737-300,5
Bombardier Dash 8 Q200 / DHC-8-200,4
ATR 72-500,62
Cessna 525A,1
Cessna 208 Caravan,44
Pilatus PC-12,11
DeHavilland DHC-2 B,2
Airbus A330-800 NEO,2
De Havilland Canada DHC-8-400 Dash 8Q,2
ATR 42-500,1
Cessna 172,2
Dassault Falcon,1
ATR 72,1
Bombardier CRJ200,1
Embraer 195-E2,1
Airbus A380,1
Cessna 750 Citation X,1
Bombardier CRJ,2
Boeing 737-900 (winglets) ,2
