number_of_flights,aircraft_registration,aircraft_model
14,PH-NXR,E295
7,PH-NXU,E295
7,PH-NXY,E295
7,PH-NXZ,E295
7,PH-NXW,E295
7,PH-AXD,Airbus A321 NEO
7,PH-AXC,Airbus A321 NEO
6,PH-AXH,Airbus A321 NEO
9,D-AINI,Airbus A320 NEO
11,D-AINV,Airbus A320 NEO
8,D-AINX,Airbus A320 NEO
7,D-AIJP,Airbus A320 NEO
9,D-AIJM,Airbus A320 NEO
7,D-AIJQ,Airbus A320 NEO
6,HZ-AS75,Airbus A320
9,HZ-AS57,Airbus A320
7,HZ-AS61,Airbus A320
9,HZ-AS60,Airbus A320
7,HZ-AS63,Airbus A320
7,HZ-ASAD,Airbus A321 NEO
7,D-AINN,Airbus A320 NEO
8,PH-AXN,Airbus A321 NEO
8,HZ-NS36,Airbus A320 NEO
6,HZ-NS22,Airbus A320 (Sharklets)
6,HZ-NS85,Airbus A320 NEO
6,HZ-NS57,Airbus A320 NEO
8,HZ-NS76,Airbus A320 NEO
8,HZ-NS27,Airbus A320 NEO
8,HZ-NS93,Airbus A320 NEO
6,HZ-FBK,Airbus A320 NEO
7,HZ-FBV,Airbus A320 NEO
6,HZ-FAD,Airbus A320
11,HZ-FAI,Airbus A320
6,HZ-FAF,Airbus A320
7,HZ-FAL,Airbus A320 NEO
7,HZ-FAA,Airbus A320
6,HZ-FAN,Airbus A320 NEO
7,HZ-FAQ,Airbus A320 NEO
6,HZ-AS68,Airbus A320
6,HZ-ARE,Boeing 787-9
9,HZ-AQ25,Airbus A330
6,HZ-ASAA,Airbus A321 NEO
6,HZ-AS76,Airbus A320
7,HZ-AS79,Airbus A320
