flight_number,origin,destination,flight_type
1I 495,,,International
3F 877,,,International
3F 877,,,International
3F 878,,,International
3F 878,,,International
3T 204,,,International
3T 204,,,International
3T 205,,,International
3T 205,,,International
3T 7202,,,International
3T 7203,,,International
3U 7103,,,International
3U 7103,,,International
3U 7104,,,International
3U 7104,,,International
3U 7141,,,International
3U 7141,,,International
3U 7142,,,International
3U 7142,,,International
3U 7201,,,International
3U 7201,,,International
3U 7202,,,International
3U 7202,,,International
3U 7204,,,International
3U 7204,,,International
3U 7205,,,International
3U 7205,,,International
3U 7206,,,International
3U 7206,,,International
3U 7207,,,International
3U 7207,,,International
3U 7208,,,International
3U 7208,,,International
3U 7209,,,International
3U 7209,,,International
3U 7210,,,International
3U 7210,,,International
3U 7233,,,International
3U 7233,,,International
3U 7234,,,International
3U 7234,,,International
3U 7237,,,International
3U 7237,,,International
3U 7238,,,International
4Y 1240,,,International
4Y 1240,,,International
4Y 1241,,,International
4Y 1241,,,International
4Y 1284,,,International
4Y 1284,,,International
4Y 1285,,,International
4Y 1285,,,International
4Y 308,,,International
4Y 309,,,International
4Z 315,,,International
4Z 327,,,International
4Z 342,,,International
4Z 365,,,International
4Z 3682,,,International
4Z 382,,,International
4Z 383,,,International
4Z 391,,,International
4Z 633,,,International
4Z 634,,,International
4Z 652,,,International
4Z 656,,,International
4Z 658,,,International
4Z 662,,,International
4Z 664,,,International
4Z 923,,,International
4Z 924,,,International
4Z 927,,,International
4Z 928,,,International
4Z 929,,,International
4Z 931,,,International
4Z 951,,,International
5Z 905,,,International
5Z 992,,,International
6B 623,,,International
6B 623,,,International
6B 624,,,International
6B 624,,,International
6E 1,,,International
6E 1,,,International
6E 2,,,International
6E 2,,,International
6E 3,,,International
6E 3,,,International
6E 3260,,,International
6E 3260,,,International
6E 3261,,,International
6E 3261,,,International
6E 3262,,,International
6E 3262,,,International
6E 3349,,,International
6E 3349,,,International
6E 3394,,,International
6E 3394,,,International
6E 4,,,International
6E 4,,,International
6E 4062,,,International
6E 4062,,,International
6E 4064,,,International
6E 4065,,,International
6E 4065,,,International
6E 4066,,,International
6E 4066,,,International
6E 4067,,,International
6E 4067,,,International
6E 4068,,,International
6E 4068,,,International
6E 4069,,,International
6E 4069,,,International
6E 4070,,,International
6E 4070,,,International
6E 4071,,,International
6E 4071,,,International
6E 4072,,,International
6E 4072,,,International
6E 4073,,,International
6E 4073,,,International
6E 4074,,,International
6E 4074,,,International
6E 4075,,,International
6E 4075,,,International
6E 61,,,International
6E 61,,,International
6E 62,,,International
6E 62,,,International
6E 65,,,International
6E 65,,,International
6E 67,,,International
6E 67,,,International
6E 68,,,International
6E 68,,,International
6E 75,,,International
6E 75,,,International
6E 8054,,,International
6E 8054,,,International
6E 8055,,,International
6E 8055,,,International
6E 8056,,,International
6E 8056,,,International
6E 92,,,International
6H 585,,,International
6H 585,,,International
6H 586,,,International
6H 586,,,International
8C 3344,,,International
8C 3348,,,International
8C 4350,,,International
9P 586,,,International
9P 586,,,International
9P 587,,,International
9P 587,,,International
9P 600,,,International
9P 600,,,International
9P 601,,,International
9P 601,,,International
A3 1456,,,International
A3 1456,,,International
A3 1513,,,International
A3 1513,,,International
A3 1578,,,International
A3 1578,,,International
A3 1602,,,International
A3 1602,,,International
A3 1603,,,International
A3 1603,,,International
A3 1604,,,International
A3 1604,,,International
A3 1610,,,International
A3 1610,,,International
A3 1818,,,International
A3 1818,,,International
A3 1819,,,International
A3 1819,,,International
A3 1820,,,International
A3 1820,,,International
A3 3050,,,International
A3 3050,,,International
A3 3051,,,International
A3 3051,,,International
A3 3057,,,International
A3 3057,,,International
A3 3059,,,International
A3 3059,,,International
A3 3060,,,International
A3 3060,,,International
A3 3061,,,International
A3 3061,,,International
A3 3067,,,International
A3 3067,,,International
A3 3072,,,International
A3 3072,,,International
A3 3090,,,International
A3 3090,,,International
A3 468,,,International
A3 468,,,International
A3 469,,,International
A3 469,,,International
A3 4935,,,International
A3 4935,,,International
A3 4937,,,International
A3 4937,,,International
A3 4938,,,International
A3 4938,,,International
A3 4963,,,International
A3 4963,,,International
A3 499,,,International
A3 546,,,International
A3 546,,,International
A3 547,,,International
A3 547,,,International
A3 600,,,International
A3 600,,,International
A3 601,,,International
A3 601,,,International
A3 602,,,International
A3 602,,,International
A3 603,,,International
A3 603,,,International
A3 608,,,International
A3 608,,,International
A3 609,,,International
A3 609,,,International
A3 7970,,,International
A3 904,,,International
A3 904,,,International
A3 905,,,International
A3 905,,,International
A3 906,,,International
A3 906,,,International
A3 907,,,International
A3 908,,,International
A3 908,,,International
A3 909,,,International
A3 909,,,International
A3 913,,,International
A3 913,,,International
A3 914,,,International
A3 914,,,International
A9 773,,,International
A9 773,,,International
A9 774,,,International
A9 774,,,International
AA 101,,,International
AA 105,,,International
AA 105,,,International
AA 134,,,International
AA 134,,,International
AA 136,,,International
AA 137,,,International
AA 137,,,International
AA 141,,,International
AA 141,,,International
AA 142,,,International
AA 142,,,International
AA 173,,,International
AA 173,,,International
AA 194,,,International
AA 194,,,International
AA 195,,,International
AA 195,,,International
AA 21,,,International
AA 39,,,International
AA 39,,,International
AA 5038,,,International
AA 5038,,,International
AA 54,,,International
AA 55,,,International
AA 55,,,International
AA 5825,,,International
AA 5828,,,International
AA 5828,,,International
AA 5927,,,International
AA 6018,,,International
AA 6018,,,International
AA 6073,,,International
AA 6073,,,International
AA 6113,,,International
AA 6600,,,International
AA 6600,,,International
AA 6602,,,International
AA 6602,,,International
AA 6603,,,International
AA 6603,,,International
AA 6604,,,International
AA 6605,Larnarca Larnaca,,International
AA 6606,,,International
AA 6606,,,International
AA 6607,,,International
AA 6607,,,International
AA 6613,,,International
AA 6615,,,International
AA 6615,,,International
AA 6617,,,International
AA 6617,,,International
AA 6624,,,International
AA 6624,,,International
AA 6625,,,International
AA 6625,,,International
AA 6626,,,International
AA 6626,,,International
AA 6628,,,International
AA 6630,,,International
AA 6630,,,International
AA 6632,,,International
AA 6632,,,International
AA 6634,,,International
AA 6634,,,International
AA 6636,,,International
AA 6637,,,International
AA 6637,,,International
AA 6638,,,International
AA 6638,,,International
AA 6639,,,International
AA 6639,,,International
AA 6642,,,International
AA 6642,,,International
AA 6643,,,International
AA 6643,,,International
AA 6645,,Larnarca Larnaca,International
AA 6645,,Larnarca Larnaca,International
AA 6648,,,International
AA 6648,,,International
AA 6649,,,International
AA 6649,,,International
AA 6651,,,International
AA 6651,,,International
AA 6653,,,International
AA 6655,,,International
AA 6655,,,International
AA 6656,,,International
AA 6656,,,International
AA 6659,,,International
AA 6659,,,International
AA 6660,,,International
AA 6660,,,International
AA 6661,,,International
AA 6661,,,International
AA 6663,,,International
AA 6663,,,International
AA 6664,,,International
AA 6664,,,International
AA 6665,,,International
AA 6665,,,International
AA 6667,,,International
