airline_code,status,number_of_flights
1I,Expected,1
3F,Canceled,2
3F,Expected,2
3T,Expected,5
3T,Boarding,1
3U,Expected,26
3U,Departed,3
3U,Arrived,2
3U,Boarding,1
3U,GateClosed,1
4Y,Expected,9
4Y,CheckIn,1
4Z,Expected,18
4Z,Arrived,2
4Z,Departed,1
4Z,Boarding,1
5Z,Expected,2
6B,Expected,4
6E,Expected,53
6E,Departed,4
6E,Boarding,2
6E,GateClosed,1
6E,Arrived,2
6H,Expected,4
8C,Arrived,3
,Expected,196
A3,Expected,55
A3,Delayed,5
A3,Boarding,6
A3,Arrived,8
A3,GateClosed,1
A3,Departed,6
A3,CheckIn,2
A9,Expected,4
AA,Departed,88
AA,Expected,406
AA,Boarding,44
AA,Arrived,83
AA,Unknown,3
AA,Delayed,91
AA,Canceled,40
AA,GateClosed,6
AC,Expected,113
AC,Departed,33
AC,Boarding,19
AC,Arrived,35
AC,GateClosed,4
AC,Delayed,10
AC,CheckIn,1
AD,Expected,14
AD,Boarding,1
AD,Departed,2
AD,Arrived,1
AF,Expected,54
AF,Canceled,4
AF,Departed,21
AF,Arrived,14
AF,Boarding,2
AF,GateClosed,2
AF,Delayed,5
AH,Expected,8
AI,Arrived,7
AI,Boarding,5
AI,Delayed,4
AI,Departed,8
AI,Expected,71
AI,CheckIn,1
AM,Expected,28
AM,Canceled,3
AM,Departed,1
AM,Delayed,2
AM,Arrived,1
AR,Departed,2
AR,Expected,4
AS,Expected,97
AS,Unknown,18
AS,Arrived,17
AS,Departed,16
AS,Canceled,4
AS,Delayed,7
AS,Boarding,6
AT,Arrived,4
AT,GateClosed,2
AT,Delayed,7
AT,Expected,30
AT,Canceled,2
AV,Expected,47
AV,Arrived,2
AY,Departed,37
AY,Expected,149
AY,Delayed,16
AY,Arrived,36
AY,Boarding,17
AY,Canceled,11
AY,GateClosed,3
AZ,Departed,3
AZ,Expected,4
AZ,Arrived,1
B6,Expected,17
B6,Departed,11
B6,Arrived,2
B6,Canceled,2
B6,Delayed,7
B6,Boarding,3
B6,GateClosed,1
BA,Expected,719
BA,Arrived,97
BA,Delayed,114
BA,Boarding,53
BA,Departed,123
BA,Canceled,57
BA,GateClosed,12
BA,CheckIn,1
BG,Expected,7
BI,Expected,3
BI,CheckIn,1
BR,Expected,26
BR,Departed,3
BR,Arrived,2
BR,Boarding,1
BR,GateClosed,1
BS,Expected,2
BT,Departed,1
BT,Expected,2
BY,Expected,8
BY,Arrived,1
BY,Boarding,1
BY,Departed,1
,Departed,27
CA,Expected,27
CA,Arrived,3
CI,Expected,16
CI,Arrived,1
CJ,Departed,1
,Arrived,19
CX,Expected,57
CX,Departed,6
CX,Delayed,10
CX,GateClosed,1
CX,Canceled,5
CX,Boarding,1
CX,Arrived,4
CY,Expected,16
CY,Departed,3
CY,Arrived,3
CY,CheckIn,2
CY,Boarding,2
CZ,Expected,28
CZ,Boarding,1
CZ,Canceled,2
CZ,Delayed,5
CZ,Arrived,1
D3,Expected,1
D7,Expected,4
D8,Expected,4
DE,Expected,4
DE,Unknown,1
DH,Departed,2
DL,Expected,95
DL,Arrived,20
DL,Unknown,2
DL,Departed,28
DL,Delayed,9
DL,Boarding,4
DL,GateClosed,2
DL,Canceled,3
DS,Expected,4
DT,Expected,2
DY,Expected,11
E2,Expected,11
E2,CheckIn,2
E4,Expected,10
E4,Arrived,2
E4,Departed,1
E5,Departed,2
EC,Expected,12
EC,Arrived,1
EC,Departed,2
EI,Arrived,31
EI,Boarding,16
EI,Departed,21
EI,Expected,127
EI,Delayed,9
EI,GateClosed,5
EI,Canceled,10
EK,Arrived,3
EK,Expected,38
EK,Boarding,3
EK,Delayed,2
EK,Departed,1
ET,Departed,3
ET,Arrived,5
ET,Expected,9
,CheckIn,4
ET,GateClosed,2
EW,Departed,2
EW,Expected,20
EW,Arrived,2
EW,Delayed,1
EY,Expected,32
EY,Delayed,1
EY,Arrived,3
EY,Departed,4
EY,Boarding,1
F3,Arrived,12
F3,Departed,10
F3,Expected,87
F3,CheckIn,11
F3,Boarding,5
F3,GateClosed,1
F3,Unknown,1
F3,Canceled,2
F3,Approaching,1
FA,Expected,44
FA,Departed,9
FA,Arrived,4
FB,Expected,1
FB,Departed,2
FI,Delayed,2
FI,Arrived,1
FI,Boarding,4
FI,Expected,21
FJ,Arrived,2
FJ,Expected,11
FJ,Departed,2
FR,Arrived,4
FR,Approaching,1
FR,Expected,11
FR,GateClosed,3
FR,Departed,1
FY,Expected,4
FY,Boarding,1
FY,Departed,1
FZ,Expected,7
FZ,CheckIn,1
FZ,Departed,1
G3,Expected,14
G3,Canceled,2
G9,Expected,3
G9,Delayed,1
G9,CheckIn,2
GA,Expected,30
GA,Boarding,3
GA,Arrived,8
GA,Departed,1
GA,CheckIn,1
GB,Arrived,1
GB,Expected,1
GE,Expected,8
GE,Arrived,2
GE,GateClosed,1
GF,Departed,9
GF,Expected,23
GF,CheckIn,3
GF,Arrived,8
GF,Delayed,1
GF,Boarding,3
GL,Canceled,3
GL,Expected,13
GQ,Expected,6
GS,Expected,4
H3,Expected,2
HT,Expected,2
HV,Expected,2
HV,Departed,1
HY,Arrived,1
HY,Departed,1
I2,Departed,1
I2,Expected,1
IB,Departed,43
IB,Expected,249
IB,Canceled,17
IB,Delayed,25
IB,Boarding,23
IB,Arrived,45
IB,GateClosed,4
IX,Departed,2
IY,Expected,4
IY,Departed,1
IZ,Expected,7
J2,Expected,4
J4,Arrived,1
J4,Expected,7
J4,CheckIn,3
J5,Unknown,26
J5,Expected,27
J9,Arrived,4
J9,Departed,2
J9,Boarding,2
J9,Expected,1
JL,Expected,18
,Canceled,17
,Delayed,30
JL,Departed,5
JL,Boarding,1
JL,GateClosed,1
JL,Delayed,5
,Boarding,5
JL,Arrived,2
,GateClosed,1
JT,Delayed,2
JT,Expected,6
JT,Arrived,2
JT,Canceled,1
JT,CheckIn,3
JU,Delayed,2
JU,Arrived,1
JU,Boarding,1
JU,Expected,7
JU,CheckIn,1
KC,Expected,4
KE,Expected,10
KE,Boarding,1
KE,GateClosed,1
KL,Arrived,16
KL,Boarding,3
KL,Departed,21
KL,Expected,62
KL,Delayed,6
KL,Canceled,1
KL,GateClosed,2
KM,Departed,3
KM,Expected,9
KQ,Expected,23
KQ,Arrived,4
KQ,Boarding,1
KQ,Departed,2
KQ,Canceled,4
KQ,Delayed,3
KU,Expected,10
LA,Expected,112
LA,Boarding,1
LA,Departed,1
LA,Arrived,3
LA,Delayed,9
LA,Canceled,8
LG,Arrived,1
LG,Departed,1
LH,Departed,18
LH,Delayed,8
LH,Arrived,19
LH,Boarding,11
LH,Expected,82
LH,Canceled,1
LH,GateClosed,3
LM,Expected,8
LM,Departed,1
LO,Expected,12
LO,CheckIn,2
LO,Departed,2
LS,Departed,1
LS,Expected,32
LX,Delayed,6
LX,Expected,41
LX,Boarding,6
LX,Departed,12
LX,Arrived,13
LX,GateClosed,2
LY,Expected,10
ME,Arrived,6
ME,Boarding,3
ME,Departed,1
ME,Expected,10
MF,Expected,15
MF,Arrived,1
MF,Boarding,1
MF,Departed,1
MH,Expected,70
MH,Boarding,3
MH,Departed,14
MH,Delayed,9
MH,Arrived,8
MH,Canceled,4
MK,Canceled,3
MK,Expected,8
MK,Departed,1
MS,Expected,34
MS,Arrived,7
MS,Boarding,5
MS,Departed,4
MS,CheckIn,2
MU,Expected,29
NE,Expected,3
NE,Delayed,1
NH,Expected,44
NH,Boarding,1
NH,Departed,1
NP,Expected,5
NP,CheckIn,2
NT,Boarding,1
NT,Expected,28
NT,Arrived,4
NT,Departed,1
NT,CheckIn,1
NZ,Expected,23
NZ,Departed,5
NZ,Arrived,6
NZ,Boarding,3
NZ,GateClosed,2
OD,Expected,8
OO,Expected,2
OS,Arrived,18
OS,Boarding,12
OS,Departed,15
OS,Expected,31
OS,Delayed,2
OS,GateClosed,3
OS,CheckIn,1
OU,Expected,14
OU,Arrived,2
OV,Expected,2
OV,CheckIn,2
OZ,Expected,4
OZ,Unknown,2
P0,Departed,1
P4,Expected,4
PC,Expected,7
PF,Expected,3
PF,CheckIn,1
PK,Expected,24
PK,Departed,3
PK,Arrived,3
PK,Boarding,1
PK,GateClosed,1
PK,CheckIn,1
PM,Arrived,2
PM,Boarding,2
PM,Expected,10
Q4,Arrived,2
QF,Departed,5
QF,Expected,39
QF,Delayed,9
QF,Arrived,8
QF,Boarding,4
QF,Canceled,2
QP,Expected,12
QR,Expected,278
QR,CheckIn,2
QR,Departed,29
QR,Canceled,19
QR,Arrived,35
QR,Delayed,53
QR,Boarding,13
QR,GateClosed,3
QX,Expected,1
RJ,Expected,21
RJ,Departed,1
RJ,Delayed,1
RJ,Arrived,2
RK,Expected,2
RR,Departed,4
RR,Arrived,4
RR,Expected,5
RR,CheckIn,1
RX,Expected,24
RX,CheckIn,4
RX,Arrived,2
RX,Departed,3
RX,GateClosed,1
S4,Expected,14
S4,Boarding,1
S4,Arrived,1
S4,Departed,2
SA,Expected,14
SA,Departed,2
SA,Arrived,1
SA,Boarding,1
SD,Canceled,6
SD,Expected,1
SD,Boarding,1
SD,Arrived,2
SD,Departed,2
SK,Expected,52
SK,Arrived,9
SK,Delayed,7
SK,Departed,12
SK,Boarding,2
SK,GateClosed,1
SM,Expected,11
SM,Arrived,3
SM,Departed,2
SM,CheckIn,1
SM,Boarding,1
SM,Unknown,1
SN,Arrived,10
SN,Boarding,6
SN,Departed,9
SN,Expected,21
SN,Delayed,2
SN,GateClosed,2
SQ,Expected,56
SQ,Departed,11
SQ,Delayed,1
SQ,Boarding,6
SQ,Arrived,2
SV,Arrived,39
SV,Departed,31
SV,Expected,266
SV,GateClosed,5
SV,CheckIn,27
SV,Delayed,7
SV,Approaching,2
SV,Unknown,5
SV,Boarding,4
SY,Arrived,1
SY,Expected,1
TB,Expected,7
TB,Arrived,1
TG,Departed,3
TG,Arrived,4
TG,Boarding,2
TG,GateClosed,1
TG,Expected,9
TK,Expected,30
TK,Departed,3
TK,Arrived,3
TK,Boarding,2
TK,GateClosed,1
TK,CheckIn,3
TK,Delayed,1
TO,Expected,4
TP,Expected,54
TP,Arrived,8
TP,Boarding,6
TP,Departed,9
TP,Delayed,4
TR,Expected,2
U2,Expected,66
U2,Arrived,3
U2,Boarding,3
U2,Departed,3
U2,Delayed,2
U8,Expected,5
U8,Delayed,1
U8,CheckIn,1
UA,Delayed,12
UA,Expected,93
UA,Arrived,24
UA,Departed,26
UA,Boarding,15
UA,Unknown,4
UA,CheckIn,1
UA,GateClosed,4
UL,Departed,6
UL,Arrived,7
UL,Expected,17
UL,Boarding,4
UL,GateClosed,1
UL,Delayed,1
UU,Canceled,2
UU,Expected,5
UU,Departed,1
UX,Expected,12
UX,Boarding,3
UX,Arrived,3
UZ,Expected,2
V7,Expected,5
V7,Departed,1
VA,Expected,23
VB,Expected,2
