airline_code,status,number_of_flights
3F,Canceled,2
3T,Expected,2
3U,Expected,13
3U,Departed,2
3U,Arrived,1
3U,Boarding,1
4Y,Expected,5
4Y,CheckIn,1
6B,Expected,2
6E,Expected,26
6E,Departed,2
6E,Boarding,2
6E,Arrived,1
6H,Expected,2
,Expected,83
A3,Expected,25
A3,Delayed,5
A3,Boarding,3
A3,Arrived,3
A3,GateClosed,1
A3,Departed,3
A3,CheckIn,1
A9,Expected,2
AA,Expected,170
AA,Arrived,29
AA,Boarding,19
AA,Departed,39
AA,Unknown,1
AA,Delayed,87
AA,Canceled,37
AA,GateClosed,4
AC,Expected,57
AC,Departed,12
AC,Arrived,16
AC,Boarding,12
AC,Delayed,9
AC,GateClosed,1
AD,Expected,8
AD,Departed,1
AF,Expected,29
AF,Canceled,4
AF,Arrived,7
AF,Departed,10
AF,Boarding,1
AF,GateClosed,1
AF,Delayed,1
AH,Expected,3
AI,Arrived,3
AI,Boarding,2
AI,Delayed,4
AI,Expected,35
AI,Departed,4
AM,Canceled,3
AM,Expected,13
AM,Delayed,2
AR,Departed,1
AR,Expected,2
AS,Expected,48
AS,Unknown,9
AS,Departed,9
AS,Canceled,3
AS,Boarding,2
AS,Arrived,5
AS,Delayed,6
AT,Arrived,1
AT,GateClosed,1
AT,Delayed,7
AT,Expected,12
AT,Canceled,2
AV,Expected,23
AV,Arrived,1
AY,Departed,18
AY,Expected,71
AY,Delayed,12
AY,Arrived,14
AY,Boarding,8
AY,Canceled,8
AY,GateClosed,3
AZ,Departed,1
AZ,Expected,2
B6,Expected,7
B6,Departed,4
B6,Canceled,2
B6,Delayed,7
B6,Boarding,2
BA,Expected,314
BA,Delayed,107
BA,Departed,53
BA,Canceled,52
BA,Boarding,24
BA,Arrived,33
BA,GateClosed,8
BG,Expected,5
BI,Expected,2
BR,Expected,13
BR,Departed,2
BR,Arrived,1
BR,Boarding,1
BT,Departed,1
BT,Expected,1
BY,Expected,4
BY,Arrived,1
BY,Boarding,1
BY,Departed,1
CA,Expected,14
CA,Arrived,1
CI,Expected,8
CI,Arrived,1
,Departed,9
CX,Expected,22
CX,Departed,3
CX,Delayed,9
CX,GateClosed,1
CX,Canceled,5
CX,Boarding,1
CX,Arrived,1
CY,Expected,7
CY,Departed,1
CY,Arrived,1
CY,CheckIn,2
CZ,Expected,10
CZ,Boarding,1
CZ,Delayed,5
CZ,Canceled,1
D7,Expected,2
D8,Expected,2
DE,Expected,2
DH,Departed,1
DL,Expected,50
DL,Unknown,1
DL,Departed,14
DL,Boarding,2
DL,Arrived,9
DL,GateClosed,1
DL,Delayed,5
DL,Canceled,3
DS,Expected,2
DY,Expected,5
E2,Expected,5
E4,Expected,6
E4,Arrived,2
E4,Departed,1
E5,Departed,1
EC,Expected,8
EC,Arrived,1
EC,Departed,1
EI,Arrived,14
EI,Boarding,6
EI,Expected,63
EI,Delayed,8
EI,Departed,11
EI,Canceled,7
EI,GateClosed,4
EK,Arrived,1
EK,Expected,16
EK,Boarding,1
EK,Delayed,2
ET,Arrived,2
ET,Expected,3
ET,Departed,1
,Arrived,5
ET,GateClosed,1
EW,Departed,1
EW,Expected,10
EW,Arrived,1
EW,Delayed,1
EY,Expected,17
EY,Delayed,1
EY,Departed,2
EY,Boarding,1
EY,Arrived,1
F3,Arrived,7
F3,Departed,5
F3,Expected,45
F3,CheckIn,3
F3,Boarding,3
FB,Departed,1
FI,Delayed,2
FI,Expected,10
FI,Boarding,1
FJ,Arrived,1
FJ,Expected,6
FJ,Departed,1
FR,Arrived,4
FR,Approaching,1
FR,Expected,11
FR,GateClosed,3
