aircraft_model,number_of_flights
Airbus A321,51
Boeing 737-800,33
Boeing 787-9,320
Airbus A350-900,76
Boeing 777-300ER Passenger,326
Airbus A330-300,52
Airbus A321 NEO,341
Airbus A320,624
Airbus A320 (sharklets),99
Boeing 737 MAX 8,88
E295,43
Airbus A320 NEO,797
Airbus A321-200 (Sharklets),33
Boeing 787-8,79
,30
Boeing 777-200 / 200ER Passenger,170
Boeing 777-200,8
Canadair CRJ 200,2
Embraer RJ145,8
Embraer 145,1
Airbus A319,266
Airbus A350-1000,124
Airbus A380-800,110
Boeing 787-10,99
Boeing 777-300,8
Boeing 777-300ER,18
Airbus A321 (Sharklets),17
Boeing 767-300 Passenger (winglets),49
Airbus A220-300,87
Boeing 737-800 (winglets),42
Boeing 767-400 Passenger,21
Airbus A330-900 NEO,62
Airbus A330-200 Freighter,10
Boeing 737-800 Passenger/BBJ2 (winglets),2
Airbus A330-200,2
Boeing 777,25
Boeing 737-900,6
Boeing 737-700,6
Boeing 777-300 Passenger,10
Boeing 777-200LR Passenger,10
ATR 72-600,46
Airbus A330,30
Boeing 737,10
Bombardier Dash 8 Q200 / DHC-8-200,4
ATR 72-500,62
Cessna 208 Caravan,41
Pilatus PC-12,8
DeHavilland DHC-2 B,2
ATR 72,1
Embraer 195-E2,1
Airbus A380,1
Embraer 190,3
Cessna 750 Citation X,1
Boeing 767-300,4
Bombardier CRJ,2
Airbus A350,2
Boeing 737-900 (winglets) ,1
